location,val
Colorado,40200.64324
Poland,390848.7032
South Korea,596815.1036
Mozambique,203489.9032
Ireland,41089.36409
Scotland,39230.82699
Suriname,10149.22004
Fukui,5038.556833
South Sudan,65991.3494
Tocantins,13497.66989
West Midlands,47745.38492
Cameroon,160374.8803
Qatar,24278.95711
West Sulawesi,27045.46638
Canada,339868.2432
Hokkaid?,31976.89623
Seychelles,1253.389611
Georgia,66499.25328
Guerrero,71888.74976
Minas Gerais,185432.4968
Sutton,1194.04387
West Java,639572.0065
Hiroshima,17350.95702
Angola,221071.3018
Yamaguchi,9238.217236
Romania,176840.4324
Tlaxcala,27217.14903
Trinidad and Tobago,53634.02058
Thailand,777347.1623
Vietnam,1066405.178
Timor-Leste,10315.44066
Italy,733221.1977
East Asia & Pacific - WB,21480080.92
Stockport,1849.479834
Michigan,135177.1847
Salford,1442.810284
Greater London,50117.37874
Hounslow,1673.487958
Israel,75877.41969
Windsor and Maidenhead,1301.971625
South-East Asia Region,19449632.29
Rwanda,70495.8837
Aomori,9296.942709
South East England,62480.59471
Central African Republic,51767.69961
Low SDI,8195333.37
Syria,107988.7117
New Zealand,29855.6363
Global,67875691.07
Gloucestershire,4328.538637
Tajikistan,86202.9898
Somalia,117900.781
Algeria,342003.1556
Serbia,140094.9584
World Bank Regions,67639451.94
Connecticut,40541.86982
Andean Latin America,496519.4071
Blackburn with Darwen,925.6241184
Saudi Arabia,230512.6401
Zambia,105698.442
Worcestershire,4994.799171
Central Java,589611.2576
Doncaster,2084.875542
Veracruz de Ignacio de la Llave,206949.9277
North America,4206982.828
Hidalgo,52621.92454
European Region,8620397.912
Paraguay,81390.42451
Rotherham,1810.388331
Norfolk,7443.343867
East of England,44346.20774
Rhode Island,12207.98403
Cape Verde,4000.473104
Turkmenistan,52077.0196
Tokushima,5332.853336
Trafford,1442.335696
Tunisia,105024.8911
Bahrain,23823.80268
Oceania,272960.8296
District of Columbia,6156.712703
Brazil,1987864.049
Kazakhstan,126376.4816
Harrow,1662.731982
"Southeast Asia, East Asia, and Oceania",20518174.72
Southend-on-Sea,1223.972094
Slovenia,20117.74651
Swindon,1161.763606
Singapore,28260.50938
Minnesota,55030.4394
Somerset,4282.517695
Commonwealth,19765429.74
United States,3866213.886
Knowsley,1238.423656
Europe & Central Asia - WB,8538038.128
Hampshire,11413.39328
Kyrgyzstan,33282.14614
Florida,286035.9769
Missouri,77716.49996
Isle of Wight,1376.870131
Latin America & Caribbean - WB,7649205.539
North Maluku,27896.41721
Caribbean,698906.7502
Yamanashi,5380.730445
"Kingston upon Hull, City of",1509.46919
Southwark,1611.562546
South Dakota,9958.60818
Western Europe,3891645.72
Mississippi,42118.23906
North Africa and Middle East,5201509.457
Middle SDI,21909980.52
Democratic Republic of the Congo,644341.148
West Berkshire,1419.479526
Slovakia,49428.89174
Mato Grosso do Sul,22793.85311
Slough,984.8578153
Croydon,2285.078012
Enfield,1915.944641
Staffordshire,7272.568198
Mongolia,16068.29194
Maluku,36589.52479
Northamptonshire,5857.55432
Australia,160850.9265
Cote d'Ivoire,149880.6714
Hammersmith and Fulham,1056.103069
Michoacán de Ocampo,95337.20799
Bolivia,120260.2371
Bracknell Forest,885.5144163
Chad,73224.26984
Dudley,2825.185603
Barnsley,1664.607527
Montana,12465.53542
Georgia,128127.6781
Equatorial Guinea,10933.98221
Leicestershire,4227.484768
Peterborough,1397.48112
Pará,68219.89258
Eastern Mediterranean Region,6004639.186
Newham,1606.095024
Turkey,784339.2543
Nagano,13546.93637
Swaziland,22602.50485
Milton Keynes,2053.246955
Australasia,190706.5628
Utah,28912.53948
Miyagi,14375.65184
Mato Grosso,28792.75475
Ehime,9143.626215
Nayarit,21166.20594
Tennessee,90310.81103
Zimbabwe,141214.657
Coventry,2612.29475
Yogyakarta,82501.61537
Sub-Saharan Africa - WB,6641431.93
Aichi,42733.10144
Akita,7301.621378
West Sussex,5819.143572
West Sumatra,89536.51803
Blackpool,1103.385242
Tanzania,295107.3482
Ecuador,169785.553
Kagawa,6419.138779
Iwate,8646.833679
Hackney,1450.449075
WHO region,67196764.74
Yucatán,43348.62754
The Gambia,13000.72912
West Papua,18904.72918
North Africa and Middle East,5201509.457
Jalisco,163410.1452
Fiji,54263.9978
Morelos,49574.45026
Malta,6836.985959
Costa Rica,28477.34471
Barking and Dagenham,1010.167629
Eastern Europe,1710819.676
Western Pacific Region,14700027.84
Aceh,94366.0889
East Riding of Yorkshire,2624.436889
Luton,1306.183606
Wales,25153.20558
Peru,206473.6169
Kensington and Chelsea,973.876078
Vermont,7129.296335
Nordic Region,273611.7043
South Carolina,70176.51765
Latin America and Caribbean,7054892.242
Banten,202934.7877
Papua,66932.92704
Taiwan,343734.2136
Andorra,548.2588263
Torbay,1092.422779
Antigua and Barbuda,1706.447549
Delaware,13249.07327
Telford and Wrekin,1331.571802
North Korea,208837.8944
Luxembourg,5784.034048
Campeche,18965.22981
Eastern Sub-Saharan Africa,2208054.769
Riau,102886.0388
Uzbekistan,378757.4013
Congo,55366.75509
Middle East & North Africa - WB,4002239.619
Fukushima,12823.87287
Cheshire West and Chester,3012.355846
Bali,82375.8983
East Java,715306.2689
East Asia,10749843.02
Stockholm,16728.18189
China,10024097.02
Burundi,65217.40599
Ealing,2129.508448
Lancashire,8008.362735
Colombia,309867.1939
Sudan,201056.8031
South West England,37688.62294
Gifu,12545.03413
North East Lincolnshire,1187.358592
Finland,55897.98684
West Kalimantan,88881.61972
Sefton,2590.507821
Haringey,1499.999571
Richmond upon Thames,1172.306354
Estonia,13956.57522
Namibia,24262.71163
East Nusa Tenggara,74387.70678
Northumberland,3156.776787
Barbados,7510.95837
Darlington,1035.295361
Barnet,2350.114066
The Bahamas,5854.577916
Lebanon,87485.7707
Arkansas,40656.3634
Texas,299908.9595
Stoke-on-Trent,1841.311362
Calderdale,1358.381551
Commonwealth High Income,1123655.519
Belarus,63493.46548
Kiribati,5137.14164
York,1216.623706
Southampton,1657.392047
Mie,11736.72064
Yamagata,7437.988355
Austria,84181.12709
Papua New Guinea,163935.4019
El Salvador,83186.35699
Oxfordshire,4158.916585
European Union,4801265.938
Alabama,72351.04243
World Bank High Income,11652567.23
Ibaraki,18984.59124
Uganda,181090.6334
Lesotho,39468.1211
Ghana,245872.7834
Aguascalientes,22052.2682
California,376253.3828
Stockton-on-Tees,1725.901226
World Bank Lower Middle Income,28467432.02
Bosnia and Herzegovina,74284.96222
Paraíba,52318.93465
Newcastle upon Tyne,2119.34128
Plymouth,1608.694103
Pernambuco,122960.7666
Baja California,73522.72863
Saga,5164.30447
Reading,1205.034752
Belize,5541.928142
Islington,1273.49822
New Jersey,105746.8865
South Asia,14424976.95
Southern Sub-Saharan Africa,1119020.492
Greenland,354.6214633
United Arab Emirates,99679.81401
Bahia,169232.8206
Commonwealth Middle Income,16186892.95
West Nusa Tenggara,102954.3471
South Asia - WB,15121472.97
Cornwall,4201.500127
World Bank Upper Middle Income,23219803.95
Sinaloa,48690.90528
North Yorkshire,4423.474571
North East England,24191.33436
North Sumatra,202727.7901
Birmingham,8065.991813
Bath and North East Somerset,973.442719
Fukuoka,28849.97257
Africa,8547135.421
Shizuoka,24203.83844
Egypt,964420.9531
Commonwealth Low Income,2454881.27
Netherlands,170413.8209
Libya,81890.99934
Afghanistan,301118.8395
Burkina Faso,127597.0964
Czech Republic,148899.4308
Latvia,22716.46659
Central Latin America,3790211.611
OECD Countries,13970085.47
Portugal,181197.1036
Gabon,21969.05456
Cumbria,5058.515771
Bournemouth,1335.248766
South Gloucestershire,1688.598106
Guinea-Bissau,12561.08482
Baja California Sur,12302.33638
Waltham Forest,1486.845483
Nuevo León,89184.44458
Guinea,70281.3289
Croatia,59245.64039
England,388005.3566
Greenwich,1571.439256
Sweden,96133.77469
Iran,805005.9238
Marshall Islands,1494.997909
African Region,6664477.502
Nagasaki,8273.934938
Liberia,28109.53355
Lambeth,1728.108327
Bulgaria,82977.34871
Sweden except Stockholm,79405.5928
Kent,9942.099692
K?chi,4878.97677
